iter	Passed	Remaining
600	1659	1101
601	1661	1098
602	1663	1095
603	1665	1092
604	1668	1089
605	1670	1086
606	1673	1083
607	1675	1080
608	1678	1077
609	1680	1074
610	1682	1071
611	1685	1068
612	1687	1065
613	1690	1062
614	1693	1059
615	1695	1057
616	1698	1054
617	1700	1051
618	1703	1048
619	1705	1045
620	1708	1042
621	1710	1039
622	1713	1036
623	1716	1034
624	1718	1031
625	1721	1028
626	1724	1025
627	1727	1023
628	1730	1020
629	1732	1017
630	1735	1014
631	1737	1011
632	1739	1008
633	1742	1005
634	1744	1002
635	1747	1000
636	1749	997
637	1752	994
638	1754	991
639	1756	988
640	1759	985
641	1761	982
642	1764	979
643	1766	976
644	1768	973
645	1771	970
646	1773	967
647	1775	964
648	1777	961
649	1780	958
650	1782	955
651	1784	952
652	1787	949
653	1789	946
654	1791	943
655	1793	940
656	1796	937
657	1798	934
658	1800	931
659	1803	928
660	1806	926
661	1808	923
662	1811	920
663	1815	918
664	1817	915
665	1820	912
666	1823	910
667	1825	907
668	1827	904
669	1830	901
670	1832	898
671	1834	895
672	1836	892
673	1838	889
674	1840	886
675	1842	883
676	1845	880
677	1847	877
678	1849	874
679	1851	871
680	1853	868
681	1855	865
682	1857	862
683	1859	859
684	1861	856
685	1864	853
686	1866	850
687	1868	847
688	1870	844
689	1872	841
690	1874	838
691	1876	835
692	1879	832
693	1881	829
694	1883	826
695	1886	823
696	1888	820
697	1890	817
698	1892	814
699	1894	811
700	1896	808
701	1900	806
702	1902	803
703	1904	800
704	1906	797
705	1908	794
706	1910	791
707	1913	788
708	1915	786
709	1917	783
710	1919	780
711	1921	777
712	1923	774
713	1926	771
714	1928	768
715	1930	765
716	1933	763
717	1935	760
718	1937	757
719	1940	754
720	1942	751
721	1944	748
722	1946	745
723	1948	742
724	1951	740
725	1953	737
726	1955	734
727	1957	731
728	1959	728
729	1962	725
730	1964	722
731	1966	719
732	1969	717
733	1971	714
734	1973	711
735	1975	708
736	1977	705
737	1980	703
738	1982	700
739	1984	697
740	1987	694
741	1989	691
742	1991	688
743	1993	686
744	1995	683
745	1998	680
746	2000	677
747	2002	674
748	2004	671
749	2007	669
750	2009	666
751	2011	663
752	2013	660
753	2015	657
754	2017	654
755	2019	651
756	2022	649
757	2024	646
758	2026	643
759	2029	640
760	2031	637
761	2033	635
762	2035	632
763	2037	629
764	2040	626
765	2042	623
766	2044	621
767	2046	618
768	2048	615
769	2051	612
770	2054	610
771	2056	607
772	2058	604
773	2060	601
774	2062	598
775	2064	596
776	2067	593
777	2069	590
778	2071	587
779	2073	584
780	2075	581
781	2077	579
782	2079	576
783	2082	573
784	2084	570
785	2086	568
786	2088	565
787	2090	562
788	2093	559
789	2095	556
790	2097	554
791	2099	551
792	2101	548
793	2103	545
794	2106	543
795	2108	540
796	2110	537
797	2112	534
798	2114	531
799	2116	529
800	2118	526
801	2121	523
802	2123	520
803	2125	518
804	2127	515
805	2129	512
806	2131	509
807	2134	507
808	2136	504
809	2138	501
810	2140	498
811	2142	496
812	2144	493
813	2147	490
814	2149	487
815	2151	485
816	2153	482
817	2155	479
818	2157	476
819	2159	474
820	2161	471
821	2164	468
822	2166	465
823	2168	463
824	2170	460
825	2172	457
826	2174	454
827	2177	452
828	2179	449
829	2181	446
830	2183	443
831	2185	441
832	2190	439
833	2193	436
834	2196	433
835	2198	431
836	2200	428
837	2202	425
838	2205	423
839	2207	420
840	2209	417
841	2211	414
842	2213	412
843	2215	409
844	2218	406
845	2220	404
846	2223	401
847	2225	398
848	2228	396
849	2230	393
850	2232	390
851	2234	388
852	2237	385
853	2239	382
854	2241	380
855	2243	377
856	2245	374
857	2247	372
858	2249	369
859	2252	366
860	2254	363
861	2256	361
862	2258	358
863	2260	355
864	2263	353
865	2265	350
866	2267	347
867	2269	345
868	2271	342
869	2275	339
870	2277	337
871	2279	334
872	2282	332
873	2284	329
874	2287	326
875	2289	324
876	2292	321
877	2295	318
878	2297	316
879	2300	313
880	2302	311
881	2305	308
882	2308	305
883	2310	303
884	2313	300
885	2316	298
886	2318	295
887	2320	292
888	2323	290
889	2325	287
890	2327	284
891	2329	282
892	2331	279
893	2334	276
894	2336	274
895	2338	271
896	2340	268
897	2342	266
898	2345	263
899	2348	260
900	2350	258
901	2353	255
902	2355	253
903	2358	250
904	2360	247
905	2362	245
906	2364	242
907	2366	239
908	2369	237
909	2371	234
910	2375	232
911	2377	229
912	2379	226
913	2382	224
914	2385	221
915	2387	218
916	2389	216
917	2392	213
918	2394	211
919	2396	208
920	2398	205
921	2401	203
922	2403	200
923	2406	197
924	2408	195
925	2411	192
926	2413	190
927	2415	187
928	2417	184
929	2419	182
930	2422	179
931	2424	176
932	2426	174
933	2429	171
934	2431	169
935	2433	166
936	2435	163
937	2437	161
938	2439	158
939	2442	155
940	2444	153
941	2446	150
942	2449	148
943	2451	145
944	2453	142
945	2455	140
946	2457	137
947	2460	134
948	2462	132
949	2464	129
950	2466	127
951	2468	124
952	2471	121
953	2473	119
954	2475	116
955	2477	114
956	2479	111
957	2481	108
958	2484	106
959	2486	103
960	2488	100
961	2490	98
962	2492	95
963	2494	93
964	2497	90
965	2499	87
966	2501	85
967	2503	82
968	2505	80
969	2507	77
970	2509	74
971	2512	72
972	2514	69
973	2516	67
974	2518	64
975	2520	61
976	2522	59
977	2524	56
978	2526	54
979	2528	51
980	2530	49
981	2533	46
982	2535	43
983	2537	41
984	2539	38
985	2541	36
986	2543	33
987	2545	30
988	2548	28
989	2550	25
990	2552	23
991	2554	20
992	2556	18
993	2558	15
994	2560	12
995	2562	10
996	2565	7
997	2567	5
998	2569	2
999	2572	0
